,En,VN,IOB,Intent
1120,my destination is san francisco i live in denver i would like a flight on august thirtieth in the morning on any airline that will get me there,điểm đến của tôi là san francisco tôi sống ở denver tôi muốn một chuyến bay vào ngày 30 tháng 8 trên bất kỳ hãng hàng không nào sẽ đưa tôi đến đó,O O O O B-toloc.city_name I-toloc.city_name O O O B-fromloc.city_name O O O O O O B-depart_date.month_name B-depart_date.day_number O O B-depart_time.period_of_day O O O O O O O O,atis_flight
1121,i would like to travel from boston to denver early in the morning,tôi muốn đi từ boston đến denver vào sáng sớm,O O O O O O O B-fromloc.city_name O B-toloc.city_name B-depart_time.period_mod O O B-depart_time.period_of_day,atis_flight
1122,what is the cheapest flight from denver to oakland,chuyến bay nào rẻ nhất từ ​​Denver đến Oakland,O O O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name,atis_flight
1123,how long does it take to get from denver to oakland,mất bao lâu để đi từ denver đến Oakland,O O O O O O O O O B-fromloc.city_name O B-toloc.city_name,atis_distance
1124,what is the cheapest one way fare between boston and oakland,giá vé một chiều rẻ nhất giữa boston và Oakland là bao nhiêu,O O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name,atis_airfare
1125,what does mco stand for,mco đại diện cho cái gì,O O O B-airport_code O O,atis_abbreviation
1126,please show me airlines with flights from boston to denver,vui lòng chỉ cho tôi các hãng hàng không có các chuyến bay từ boston đến denver,O O O O O O O O B-fromloc.city_name O B-toloc.city_name,atis_airline
1127,all flights from san francisco to los angeles,tất cả các chuyến bay từ san francisco đến los angeles,O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_flight
1128,what is the earliest flight leaving denver going to boston,chuyến bay sớm nhất rời denver sẽ đến boston là gì,O O O O B-flight_mod O O B-fromloc.city_name O O B-toloc.city_name,atis_flight
1129,find the flights that leave philadelphia and arrive in dallas by noon,tìm các chuyến bay rời philad Philadelphia và đến dallas vào buổi trưa,O O O O O O B-fromloc.city_name O O O B-toloc.city_name B-arrive_time.time_relative B-arrive_time.time,atis_flight
1130,i need a flight from san francisco to pittsburgh from pittsburgh to new york and then new york to san francisco,tôi cần một chuyến bay từ san francisco đến pittsburgh từ pittsburgh đến new york và sau đó là new york đến san francisco,O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_flight
1131,is there an airline that has a flight from philadelphia to san francisco with a stop in dallas,có hãng hàng không nào có chuyến bay từ philad Philadelphia đến san francisco với điểm dừng ở dallas không,O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-stoploc.city_name,atis_airline
1132,list all flights on united from san francisco to boston,liệt kê tất cả các chuyến bay trên United từ san francisco đến boston,O O O O O B-airline_name O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name,atis_flight
1133,what's the cheapest one way flight from oakland to boston,chuyến bay một chiều rẻ nhất từ ​​Oakland đến Boston là gì,O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name,atis_flight
1134,please list the rental car information in pittsburgh,vui lòng liệt kê thông tin thuê xe ở pittsburgh,O O O O B-transport_type I-transport_type O O B-city_name,atis_ground_service
1135,i would like to fly from denver to pittsburgh on the cheapest flight possible,tôi muốn bay từ denver đến pittsburgh trên chuyến bay rẻ nhất có thể,O O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-cost_relative O O,atis_flight
1136,are there any nonstop flights from indianapolis to san diego on wednesday may twelfth,có chuyến bay thẳng nào từ indianapolis đến san diego vào ngày thứ tư tháng mười hai không,O O O O B-flight_stop O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-arrive_date.day_name B-arrive_date.month_name B-arrive_date.day_number,atis_flight
1137,show me the airlines between boston and denver,chỉ cho tôi các hãng hàng không giữa boston và denver,O O O O O O B-fromloc.city_name O B-toloc.city_name,atis_airline
1138,i would like a twa flight from atlanta to san francisco with a stopover in denver,tôi muốn một chuyến bay twa từ atlanta đến san francisco với một điểm dừng chân ở denver,O O O O O B-airline_code O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-stoploc.city_name,atis_flight
1139,what are the lowest one way fares from atlanta to pittsburgh,giá vé một chiều thấp nhất từ ​​atlanta đến pittsburgh là bao nhiêu,O O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name,atis_airfare
1140,from las vegas to new york a nonstop twa and fare,từ las vegas đến new york một twa và giá vé liên tục,O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-flight_stop B-airline_code O O,atis_flight
1141,i need a flight from philadelphia to denver,tôi cần một chuyến bay từ Philadelphia đến Denver,O O O O O O B-fromloc.city_name O B-toloc.city_name,atis_flight
1142,flights from kansas city to cleveland and price,các chuyến bay từ kansas city đến cleveland và giá,O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O,atis_flight
1143,what is the earliest flight on friday from washington to san francisco,chuyến bay sớm nhất vào thứ sáu từ washington đến san francisco là gì,O O O O B-flight_mod O O B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_flight
1144,please list the flights from ontario california to orlando florida,vui lòng liệt kê các chuyến bay từ ontario california đến orlando florida,O O O O O O B-fromloc.city_name B-fromloc.state_name O B-toloc.city_name B-toloc.state_name,atis_flight
1145,list daily flights from boston to oakland using united airlines,liệt kê các chuyến bay hàng ngày từ Boston đến Oakland bằng các hãng hàng không thống nhất,O O B-flight_days O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name,atis_flight
1146,show me all flights from baltimore or denver or pittsburgh that fly to philadelphia,chỉ cho tôi tất cả các chuyến bay từ baltimore hoặc denver hoặc pittsburgh bay đến philadelphia,O O O O O O B-fromloc.city_name B-or B-fromloc.city_name B-or B-fromloc.city_name O O O B-toloc.city_name,atis_flight
1147,i would like to fly from pittsburgh to atlanta,tôi muốn bay từ pittsburgh đến atlanta,O O O O O O O B-fromloc.city_name O B-toloc.city_name,atis_flight
1148,list all flights on united from san francisco to boston with fare code qx,liệt kê tất cả các chuyến bay trên United từ san francisco đến boston với mã giá vé qx,O O O O O B-airline_name O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O B-fare_basis_code,atis_flight
1149,show me flights from san francisco to denver on weekdays,chỉ cho tôi các chuyến bay từ san francisco đến Denver vào các ngày trong tuần,O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-flight_mod,atis_flight
1150,does continental fly from denver to pittsburgh,lục địa có bay từ denver đến pittsburgh không,O O B-airline_name O O B-fromloc.city_name O B-toloc.city_name,atis_flight
1151,list all nonstop flights from los angeles to pittsburgh before 5 pm on tuesday,liệt kê tất cả các chuyến bay thẳng từ los angeles đến pittsburgh trước 5 giờ chiều vào thứ ba,O O O B-flight_stop O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time O B-arrive_date.day_name,atis_flight
1152,show me all flights from san francisco to pittsburgh on friday,chỉ cho tôi tất cả các chuyến bay từ san francisco đến pittsburgh vào thứ sáu,O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name,atis_flight
1153,what flights leave denver before noon on northwest airlines,những chuyến bay nào rời denver trước buổi trưa trên các hãng hàng không phía tây bắc,O O O O B-fromloc.city_name B-depart_time.time_relative B-depart_time.time O B-airline_name I-airline_name,atis_flight
1154,how many flights does delta have with a class of service code f,delta có bao nhiêu chuyến bay với loại mã dịch vụ f,O O O O O B-airline_name O O O O O O O B-fare_basis_code,atis_quantity
1155,show me all flights from san francisco to boston on november tenth,chỉ cho tôi tất cả các chuyến bay từ san francisco đến boston vào ngày 10 tháng 11,O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number,atis_flight
1156,show me all flights from san diego to new york using dc10,cho tôi xem tất cả các chuyến bay từ san diego đến new york bằng dc10,O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-aircraft_code,atis_flight
1157,show me the flights on twa from atlanta in the morning,chỉ cho tôi các chuyến bay trên twa từ atlanta vào buổi sáng,O O O O O O B-airline_code O B-fromloc.city_name O O B-depart_time.period_of_day,atis_flight
1158,show me all flights from charlotte to philadelphia,chỉ cho tôi tất cả các chuyến bay từ charlotte đến philadelphia,O O O O O O B-fromloc.city_name O B-toloc.city_name,atis_flight
1159,do you have a flight from charlotte to atlanta on june first,bạn có chuyến bay từ charlotte đến atlanta vào tháng 6 trước không,O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number,atis_flight
1160,newark to cleveland,newark đến cleveland,O B-fromloc.city_name O B-toloc.city_name,atis_flight
1161,show me the flights from san francisco to boston,chỉ cho tôi các chuyến bay từ san francisco đến boston,O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name,atis_flight
1162,please show me the cost of flight ua 201 from boston to denver and flight ua 343 from boston to denver,vui lòng cho tôi biết chi phí của chuyến bay ua 201 từ boston đến denver và chuyến bay ua 343 từ boston đến denver,O O O O O O O O B-airline_code B-flight_number O B-fromloc.city_name O B-toloc.city_name O O B-airline_code B-flight_number O B-fromloc.city_name O B-toloc.city_name,atis_airfare
1163,what flight do you have from san francisco to pittsburgh on the evening of august twenty seventh,bạn có chuyến bay nào từ san francisco đến pittsburgh vào tối ngày 28 tháng 8,O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-depart_time.period_of_day O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number,atis_flight
1164,what are the flights from boston to denver on tuesday october fifteenth,Các chuyến bay từ boston đến Denver vào thứ ba ngày mười lăm tháng mười là gì,O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_date.month_name B-depart_date.day_number,atis_flight
1165,i'd like flight information from dallas fort worth to boston on tuesday,tôi muốn thông tin chuyến bay từ pháo đài dallas đến boston vào thứ ba,O O O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name,atis_flight
1166,flights from newark to tampa on friday on us air,các chuyến bay từ Newark đến Tampa vào thứ sáu trên đường hàng không của chúng tôi,O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name O B-airline_name I-airline_name,atis_flight
1167,show me the flights from dallas to atlanta,chỉ cho tôi các chuyến bay từ dallas đến atlanta,O O O O O O B-fromloc.city_name O B-toloc.city_name,atis_flight
1168,i'm looking for ground transportation in dallas,tôi đang tìm phương tiện giao thông mặt đất ở dallas,O O O O O O O B-city_name,atis_ground_service
1169,what airline is ea the abbreviation for,hãng hàng không nào là viết tắt của,O O O O B-airline_code O O O,atis_airline
1170,is there a flight from atlanta to san francisco on november seventh at noon,có chuyến bay nào từ atlanta đến san francisco vào trưa ngày 7 tháng 11 không,O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.month_name B-depart_date.day_number O B-depart_time.time,atis_flight
1171,what does ff mean,ff có nghĩa là gì,O O O B-airline_code O,atis_abbreviation
1172,please show me united nonstop flights between boston and san francisco departing around 5 in the evening,vui lòng chỉ cho tôi các chuyến bay thẳng thống nhất giữa boston và san francisco khởi hành vào khoảng 5 giờ tối,O O O O B-airline_name B-flight_stop O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-arrive_time.time_relative B-arrive_time.time O O B-arrive_time.period_of_day,atis_flight
1173,what airlines have flights from boston to philadelphia that leave before 630 am,những hãng hàng không nào có các chuyến bay từ boston đến philadelphia khởi hành trước 630 giờ sáng,O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_time.time_relative B-depart_time.time I-depart_time.time,atis_airline
1174,i need information on flights leaving philadelphia on friday arriving in oakland california,tôi cần thông tin về các chuyến bay rời philad Philadelphia vào ngày thứ sáu đến Oakland california,O O O O O O O B-fromloc.city_name O B-depart_date.day_name O O B-toloc.city_name B-toloc.state_name,atis_flight
1175,what flights from montreal to las vegas on saturday,những chuyến bay nào từ Montreal đến Las vegas vào thứ bảy,O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name,atis_flight
1176,please show me flights available from pittsburgh to atlanta on a weekday,vui lòng chỉ cho tôi các chuyến bay có sẵn từ pittsburgh đến atlanta vào một ngày trong tuần,O O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-flight_mod,atis_flight
1177,show me the earliest flight on wednesday from baltimore to newark,chỉ cho tôi chuyến bay sớm nhất vào thứ tư từ Baltimore đến newark,O O O O B-flight_mod O O B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name,atis_flight
1178,what is the cheapest coach flight between dallas and baltimore leaving august tenth,chuyến bay có xe khách rẻ nhất giữa dallas và Baltimore khởi hành ngày 10 tháng 8 là gì,O O O O B-cost_relative B-class_type O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number,atis_flight
1179,how much does a first class round trip ticket from cleveland to miami on us air cost,Vé máy bay khứ hồi hạng nhất từ ​​cleveland đến miami trên máy bay của chúng tôi giá bao nhiêu,O O O O O B-class_type I-class_type B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name O,atis_airfare
1180,find me the cheapest one way fare i can get from boston to denver,tìm cho tôi giá vé một chiều rẻ nhất mà tôi có thể nhận được từ boston đến denver,O O O O B-cost_relative B-round_trip I-round_trip O O O O O B-fromloc.city_name O B-toloc.city_name,atis_airfare
1181,i need a flight from new york to montreal thursday may six arriving before noon,tôi cần một chuyến bay từ new york đến montreal thứ năm thứ sáu có thể đến trước buổi trưa,O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-depart_date.day_name B-depart_date.month_name B-depart_date.day_number O B-arrive_time.time_relative B-arrive_time.time,atis_flight
1182,how about flights leaving san francisco and arriving in boston for any day,còn các chuyến bay rời san francisco và đến boston trong ngày nào,O O O O O B-fromloc.city_name I-fromloc.city_name O O O B-toloc.city_name O O O,atis_flight
1183,cheapest flight from miami to indianapolis,chuyến bay rẻ nhất từ ​​Miami đến indianapolis,O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name,atis_flight
1184,give me the flights from boston to san francisco leaving early today,cho tôi các chuyến bay từ boston đến san francisco khởi hành sớm hôm nay,O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_time.period_mod B-depart_date.today_relative,atis_flight
1185,what type of aircraft leaves from boston to washington dc at 9 am during a weekday,loại máy bay nào khởi hành từ boston đến washington dc lúc 9 giờ sáng trong các ngày trong tuần,O O O O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O B-depart_time.time I-depart_time.time O O B-flight_mod,atis_aircraft
1186,show all flights from miami to jfk,hiển thị tất cả các chuyến bay từ miami đến jfk,O O O O O B-fromloc.city_name O B-toloc.airport_code,atis_flight
1187,i want to fly from dallas to san francisco,tôi muốn bay từ dallas đến san francisco,O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_flight
