,En,VN,IOB,Intent
2240,what are the lowest one way fares from atlanta to denver,giá vé một chiều thấp nhất từ ​​Atlanta đến Denver là bao nhiêu,O O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name,atis_airfare
2241,what kind of aircraft do you have flying from boston to san francisco on august twenty seventh,bạn có loại máy bay nào bay từ boston đến san francisco vào ngày 27 tháng 8,O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number,atis_aircraft
2242,what flights are there from nashville to houston tomorrow evening that serve dinner,có những chuyến bay nào từ nashville đến houston tối mai phục vụ bữa tối,O O O O O O B-fromloc.city_name O B-toloc.city_name B-depart_date.today_relative B-depart_time.period_of_day O O B-meal_description,atis_flight
2243,on may four atlanta to denver delta flight 257,vào ngày 4 tháng 5 atlanta đến denver delta chuyến bay 257,O O B-depart_date.month_name B-depart_date.day_number B-fromloc.city_name O B-toloc.city_name B-airline_name O B-flight_number,atis_flight
2244,list all flights going from boston to atlanta before 5 o'clock am on thursday,liệt kê tất cả các chuyến bay đi từ boston đến atlanta trước 5 giờ sáng thứ năm,O O O O O O B-fromloc.city_name O B-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time I-depart_time.time O B-depart_date.day_name,atis_flight
2245,what is the cheapest fare that i can get between philadelphia and san francisco,giá vé rẻ nhất mà tôi có thể nhận được giữa philad Philadelphia và san francisco là gì,O O O O B-cost_relative O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_airfare
2246,what is the schedule of ground transportation from the airport in philadelphia into downtown,lịch trình vận chuyển mặt đất từ ​​sân bay ở Philadelphia vào trung tâm thành phố như thế nào,O O O O B-flight_time O O O O O O O B-fromloc.city_name O O,atis_ground_service
2247,what afternoon flights are available from atlanta to san francisco,có những chuyến bay chiều nào từ atlanta đến san francisco,O O B-depart_time.period_of_day O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_flight
2248,what is the minimum connection time for houston intercontinental,thời gian kết nối tối thiểu cho houston intercontinental là bao nhiêu,O O O O O O O O B-airport_name I-airport_name,atis_flight_time
2249,show me flights to san francisco from philadelphia stopping in dallas,chỉ cho tôi các chuyến bay đến san francisco từ philadelphia dừng ở dallas,O O O O O B-toloc.city_name I-toloc.city_name O B-fromloc.city_name O O B-stoploc.city_name,atis_flight
2250,i would like to book a flight on us air first class from cleveland to miami on february twenty fourth,tôi muốn đặt một chuyến bay trên khoang hạng nhất của chúng tôi từ cleveland đến miami vào ngày 24 tháng 2,O O O O O O O O O B-airline_name I-airline_name B-class_type I-class_type O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number,atis_flight
2251,i need to spend much of a day on the ground in atlanta find me an early flight from boston and the lastest possible flight back from atlanta,tôi cần dành nhiều ngày trên mặt đất ở atlanta để tìm cho tôi một chuyến bay sớm từ boston và chuyến bay cuối cùng có thể trở về từ atlanta,O O O O O O O O O O O O O B-toloc.city_name O O O B-flight_mod O O B-fromloc.city_name O O B-flight_mod O O O O B-fromloc.city_name,atis_flight
