,En,VN,IOB,Intent
3360,show me ground transportation for dallas,chỉ cho tôi phương tiện giao thông mặt đất cho dallas,O O O O O O B-city_name,atis_ground_service
3361,show me first class airlines from san francisco to pittsburgh on next tuesday first class only,chỉ cho tôi các hãng hàng không hạng nhất từ ​​san francisco đến pittsburgh vào chỉ hạng nhất vào thứ ba tiếp theo,O O O B-class_type I-class_type O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.date_relative B-depart_date.day_name B-class_type I-class_type O,atis_airline
3362,show me the first class fares from baltimore to dallas,cho tôi xem vé hạng nhất từ ​​Baltimore đến dallas,O O O O B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name,atis_airfare
3363,i would like a flight between boston and atlanta on any day at one in the afternoon,tôi muốn một chuyến bay giữa boston và atlanta vào bất kỳ ngày nào lúc một giờ chiều,O O O O O O O B-fromloc.city_name O B-toloc.city_name O O O O B-depart_time.time O O B-depart_time.period_of_day,atis_flight
3364,can you list all flights between milwaukee and chicago,bạn có thể liệt kê tất cả các chuyến bay giữa Milwaukee và Chicago,O O O O O O O B-fromloc.city_name O B-toloc.city_name,atis_flight
3365,show me all flights from boston to denver,chỉ cho tôi tất cả các chuyến bay từ boston đến denver,O O O O O O B-fromloc.city_name O B-toloc.city_name,atis_flight
3366,flight from nashville back to milwaukee,chuyến bay từ nashville trở lại milwaukee,O O O B-fromloc.city_name O O B-toloc.city_name,atis_flight
3367,flights from dallas to houston in the morning,các chuyến bay từ dallas đến houston vào buổi sáng,O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_time.period_of_day,atis_flight
3368,lowest fare from san francisco to los angeles,giá vé thấp nhất từ ​​san francisco đến los angeles,O B-cost_relative O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_airfare
3369,i need to get downtown from the denver airport,tôi cần đến trung tâm thành phố từ sân bay denver,O O O O O O O O B-fromloc.airport_name I-fromloc.airport_name,atis_ground_service
3370,what are the flights from atlanta to dallas,các chuyến bay từ atlanta đến dallas là gì,O O O O O O B-fromloc.city_name O B-toloc.city_name,atis_flight
3371,list flights from denver to philadelphia,liệt kê các chuyến bay từ denver đến philadelphia,O O O O B-fromloc.city_name O B-toloc.city_name,atis_flight
3372,display flights from dallas to atlanta which depart between 2 pm and 6 pm,hiển thị các chuyến bay từ dallas đến atlanta khởi hành từ 2 giờ chiều đến 6 giờ chiều,O O O O B-fromloc.city_name O B-toloc.city_name O O O B-depart_time.start_time I-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time,atis_flight
3373,find the cheapest flight from denver to atlanta with a stopover in pittsburgh,tìm chuyến bay rẻ nhất từ ​​Denver đến Atlanta với một điểm dừng chân ở Pittsburgh,O O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name O O O O B-stoploc.city_name,atis_flight
3374,what are the classes of service on twa,các lớp dịch vụ trên twa là gì,O O O O O O O O B-airline_code,atis_flight
3375,show me the flights from pittsburgh to san francisco,chỉ cho tôi các chuyến bay từ pittsburgh đến san francisco,O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_flight
3376,what is the available ground transportation between the airport in denver and downtown,phương tiện giao thông mặt đất có sẵn giữa sân bay ở Denver và trung tâm thành phố là gì,O O O O O O O O O O O B-fromloc.city_name O O,atis_ground_service
3377,what flights leave from chicago to seattle on saturday,những chuyến bay nào khởi hành từ Chicago đến Seattle vào thứ bảy,O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name,atis_flight
3378,flights from pittsburgh to baltimore arriving between 4 and 5 pm,các chuyến bay từ pittsburgh đến Baltimore đến từ 4 đến 5 giờ chiều,O O O B-fromloc.city_name O B-toloc.city_name O O B-arrive_time.start_time O B-arrive_time.end_time I-arrive_time.end_time,atis_flight
3379,what flights from houston to milwaukee on friday on american airlines,chuyến bay nào từ houston đến milwaukee vào thứ sáu trên các hãng hàng không của Mỹ,O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name O B-airline_name I-airline_name,atis_flight
