,En,VN,IOB,Intent
0,i want to fly from baltimore to dallas round trip,tôi muốn bay khứ hồi từ Baltimore đến dallas,O O O O O O B-fromloc.city_name O B-toloc.city_name B-round_trip I-round_trip,atis_flight
1,round trip fares from baltimore to philadelphia less than 1000 dollars round trip fares from denver to philadelphia less than 1000 dollars round trip fares from pittsburgh to philadelphia less than 1000 dollars,giá vé khứ hồi từ Baltimore đến philadelphia dưới 1000 đô la giá vé khứ hồi từ denver đến philadelphia dưới 1000 đô la giá vé khứ hồi từ pittsburgh đến philadelphia dưới 1000 đô la,O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name B-cost_relative O B-fare_amount I-fare_amount B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name B-cost_relative O B-fare_amount I-fare_amount B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name B-cost_relative O B-fare_amount I-fare_amount,atis_airfare
2,show me the flights arriving on baltimore on june fourteenth,cho tôi xem các chuyến bay đến Baltimore vào ngày mười bốn tháng sáu,O O O O O O O B-toloc.city_name O B-arrive_date.month_name B-arrive_date.day_number,atis_flight
3,what are the flights which depart from san francisco fly to washington via indianapolis and arrive by 9 pm,các chuyến bay nào khởi hành từ san francisco bay đến washington qua indianapolis và đến nơi trước 9 giờ tối,O O O O O O O O B-fromloc.city_name I-fromloc.city_name O O B-toloc.city_name O B-stoploc.city_name O O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time,atis_flight
4,which airlines fly from boston to washington dc via other cities,hãng hàng không nào bay từ Boston đến washington dc qua các thành phố khác,O O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O O O,atis_airline
5,i'm looking for a flight from charlotte to las vegas that stops in st. louis hopefully a dinner flight how can i find that out,tôi đang tìm một chuyến bay từ charlotte đến las vegas dừng ở st. louis hy vọng một chuyến bay ăn tối làm thế nào tôi có thể tìm ra điều đó,O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-stoploc.city_name I-stoploc.city_name O O B-meal_description O O O O O O O,atis_flight
6,okay and then from pittsburgh i'd like to travel to atlanta on september fourth,được rồi từ pittsburgh tôi muốn đến atlanta vào ngày 4 tháng 9,O O O O O B-fromloc.city_name O O O O O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number,atis_flight
7,show me all the flights from philadelphia to cincinnati,chỉ cho tôi tất cả các chuyến bay từ philad Philadelphia đến cincinnati,O O O O O O O B-fromloc.city_name O B-toloc.city_name,atis_flight
8,okay i'd like a flight on us air from indianapolis to san diego in the afternoon what's available,"được rồi tôi muốn một chuyến bay của chúng tôi bằng đường hàng không từ indianapolis đến san diego vào buổi chiều, những gì có sẵn",O O O O O O O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-depart_time.period_of_day O O,atis_flight
9,on tuesday what flights leave phoenix to st. paul minnesota and leave after noon,vào thứ ba có chuyến bay nào rời Phoenix đến st. paul minnesota và rời đi sau buổi trưa,O O B-depart_date.day_name O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-toloc.state_name O O B-depart_time.time_relative B-depart_time.time,atis_flight
10,american flights from chicago to los angeles morning,các chuyến bay Mỹ từ Chicago đến Los Angeles buổi sáng,O B-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-depart_time.period_of_day,atis_flight
11,what types of ground transportation are there to san francisco airport,có những loại phương tiện giao thông mặt đất nào đến sân bay san francisco,O O O O O O O O O B-toloc.airport_name I-toloc.airport_name I-toloc.airport_name,atis_ground_service
